,fuelType_Clusters,tripsTaken_Clusters,dailyRate_Clusters,vehicleMake_Clusters,vehicleType_Clusters,vehicleAge_Clusters
223,2,1,1,4,0,1
224,0,0,1,4,0,1
225,2,2,1,1,0,1
226,3,3,1,0,4,1
227,2,1,1,4,0,4
228,0,0,1,2,0,0
229,0,0,1,2,0,1
230,0,2,1,3,0,1
231,0,3,1,0,0,4
232,3,3,1,2,0,0
233,0,2,1,3,0,0
234,0,3,1,2,1,4
235,0,3,1,2,0,1
236,0,0,1,3,0,0
237,0,0,1,0,0,0
238,0,3,1,0,0,3
239,0,3,3,2,0,3
240,0,3,3,0,3,0
241,0,0,1,2,0,3
242,1,0,0,1,1,0
243,0,0,1,1,0,1
244,0,0,3,2,0,3
245,0,3,3,3,0,4
246,0,2,1,3,0,3
247,0,1,1,3,1,3
248,0,3,1,2,1,3
249,0,0,3,2,0,1
250,0,0,1,2,0,3
251,0,0,1,3,0,0
252,0,0,1,4,1,0
253,0,3,1,3,0,0
254,0,0,3,0,0,0
255,0,2,1,3,0,0
256,1,3,3,1,0,3
257,1,0,1,1,0,3
258,0,0,1,0,0,4
259,0,0,3,3,0,0
260,0,0,1,2,0,0
261,1,0,0,1,0,3
262,2,3,1,1,0,1
263,0,0,1,1,1,3
264,0,1,3,2,0,3
265,0,0,3,3,0,3
266,0,3,3,2,0,0
267,0,0,1,0,0,3
268,0,3,0,2,0,3
269,0,0,3,3,1,3
270,0,0,1,1,1,0
271,1,0,3,1,0,3
272,3,0,3,3,1,4
273,0,0,3,2,0,4
274,0,2,1,3,0,0
275,0,3,3,2,0,3
276,1,0,3,1,0,3
277,2,3,0,4,1,3
278,0,0,1,2,0,1
279,2,2,1,1,0,1
280,3,3,1,4,4,1
281,0,3,1,1,1,3
282,3,1,1,1,4,1
283,0,3,1,1,0,0
284,0,0,3,2,1,0
285,0,0,0,3,0,3
286,0,0,1,4,1,0
287,0,2,1,2,1,3
288,3,3,1,0,0,3
289,1,0,3,1,0,3
290,0,0,1,0,3,4
291,0,1,1,0,3,4
292,0,3,1,1,1,3
293,0,0,3,3,0,4
294,1,3,3,1,0,3
295,1,0,4,1,1,3
296,0,0,1,2,1,4
297,2,3,1,1,4,1
298,0,3,1,3,1,4
299,0,3,1,0,0,4
300,0,0,3,3,2,3
301,0,0,3,4,1,3
302,0,0,3,2,0,3
303,0,3,1,2,0,0
304,0,3,1,4,1,4
305,0,3,1,0,0,4
306,0,0,1,4,0,4
307,0,3,1,0,1,0
308,0,0,1,3,1,3
309,0,0,1,4,1,3
310,0,0,0,3,0,3
311,3,0,1,3,1,3
312,0,0,3,2,1,0
313,0,0,1,2,1,4
314,0,0,1,4,1,3
315,0,0,1,0,1,3
316,0,0,3,0,1,4
317,0,3,1,2,0,0
318,0,0,1,0,2,3
319,0,0,3,4,1,3
320,0,3,1,0,1,4
321,0,3,3,1,0,3
322,0,0,3,2,0,1
323,0,0,3,1,3,3
324,0,0,1,0,1,0
325,0,3,1,1,1,3
326,0,0,1,1,1,3
327,0,0,3,4,1,0
328,0,0,3,4,1,0
329,0,0,3,2,0,3
330,3,0,3,4,1,0
331,0,0,3,2,1,1
332,0,0,1,4,1,0
333,0,0,3,2,0,4
334,0,3,1,1,0,4
335,0,3,1,1,0,3
336,0,0,1,1,0,0
337,0,0,1,4,1,3
338,3,0,1,0,0,3
339,3,0,1,1,4,3
340,0,2,1,0,0,3
341,2,3,1,4,0,0
342,0,3,1,1,0,0
343,0,3,1,4,0,3
344,2,3,1,1,0,4
345,0,3,1,1,0,1
346,0,0,1,0,0,0
347,0,0,1,1,2,4
348,0,3,1,4,0,0
349,0,0,1,0,0,0
350,0,0,1,4,0,3
351,0,0,1,4,1,4
352,0,0,1,3,0,0
353,0,3,1,0,1,3
354,0,3,1,0,0,0
355,0,0,1,4,0,3
356,0,0,1,3,0,3
357,0,0,1,3,3,0
358,3,3,1,0,3,4
359,0,0,1,1,0,1
360,2,0,1,4,0,3
361,0,2,1,4,0,1
362,0,2,1,1,0,3
363,0,3,1,1,0,1
364,2,0,1,1,0,0
365,0,3,1,1,0,0
366,2,1,1,1,0,4
367,0,0,1,1,0,4
368,2,3,1,1,0,0
369,0,3,1,0,0,4
370,3,0,1,1,4,1
371,3,0,1,1,1,4
372,0,0,1,0,0,1
373,0,2,1,1,0,1
374,3,3,1,0,4,1
375,0,4,1,1,0,1
376,0,0,3,0,0,3
377,2,0,1,4,1,0
378,0,0,1,2,2,0
379,0,3,1,4,1,0
380,0,0,3,4,1,3
381,0,0,0,3,0,3
382,0,0,0,0,0,2
383,0,0,1,2,3,0
384,0,0,4,0,0,2
385,0,3,1,4,1,1
386,0,3,3,2,0,4
387,1,0,0,1,0,3
388,0,2,1,3,0,1
389,0,0,3,1,3,0
390,2,2,1,1,0,0
391,0,2,3,4,0,3
392,2,3,1,1,0,1
393,0,0,2,4,0,1
394,2,2,1,1,0,1
395,0,0,1,4,1,3
